Assessment,Role,Skills,Difficulty,Duration,Category,Level,Test_Type,Remote_Testing,Adaptive,Industry,combined_features,meta_features,final_features
verify interactive,graduate,"problem,solving,reasoning,cognitive",2,36,cognitive,entry,cognitive test,1,1,general,"graduate problem,solving,reasoning,cognitive cognitive entry general",2 36,"graduate problem,solving,reasoning,cognitive cognitive entry general 2 36"
graduate ability test,graduate,"aptitude,communication,reasoning",1,30,cognitive,entry,cognitive test,1,1,general,"graduate aptitude,communication,reasoning cognitive entry general",1 30,"graduate aptitude,communication,reasoning cognitive entry general 1 30"
graduate numerical test,graduate,"numerical,analysis,quantitative",2,35,cognitive,entry,cognitive test,1,1,general,"graduate numerical,analysis,quantitative cognitive entry general",2 35,"graduate numerical,analysis,quantitative cognitive entry general 2 35"
graduate logical test,graduate,"logical,thinking,problem,solving",2,30,cognitive,entry,cognitive test,1,1,general,"graduate logical,thinking,problem,solving cognitive entry general",2 30,"graduate logical,thinking,problem,solving cognitive entry general 2 30"
graduate communication test,graduate,"communication,verbal,english",1,25,behavioral,entry,knowledge test,1,0,general,"graduate communication,verbal,english behavioral entry general",1 25,"graduate communication,verbal,english behavioral entry general 1 25"
python coding assessment,software engineer,"python,coding,algorithms,data,structures",3,60,technical,mid,coding test,1,0,it,"software engineer python,coding,algorithms,data,structures technical mid it",3 60,"software engineer python,coding,algorithms,data,structures technical mid it 3 60"
java coding assessment,software engineer,"java,oop,programming,spring",2,60,technical,mid,coding test,1,0,it,"software engineer java,oop,programming,spring technical mid it",2 60,"software engineer java,oop,programming,spring technical mid it 2 60"
c++ coding test,software engineer,"c++,algorithms,problem,solving",3,65,technical,mid,coding test,1,0,it,"software engineer c++,algorithms,problem,solving technical mid it",3 65,"software engineer c++,algorithms,problem,solving technical mid it 3 65"
frontend developer test,software engineer,"html,css,javascript,react",2,55,technical,mid,coding test,1,0,it,"software engineer html,css,javascript,react technical mid it",2 55,"software engineer html,css,javascript,react technical mid it 2 55"
backend developer test,software engineer,"python,apis,databases,backend",3,75,technical,mid,coding test,1,0,it,"software engineer python,apis,databases,backend technical mid it",3 75,"software engineer python,apis,databases,backend technical mid it 3 75"
full stack assessment,software engineer,"frontend,backend,database,api",3,90,technical,mid,coding test,1,0,it,"software engineer frontend,backend,database,api technical mid it",3 90,"software engineer frontend,backend,database,api technical mid it 3 90"
devops assessment,devops engineer,"ci,cd,docker,kubernetes,automation",3,70,technical,mid,knowledge test,1,0,it,"devops engineer ci,cd,docker,kubernetes,automation technical mid it",3 70,"devops engineer ci,cd,docker,kubernetes,automation technical mid it 3 70"
cloud engineering test,cloud engineer,"aws,azure,cloud,infrastructure",3,70,technical,mid,knowledge test,1,0,it,"cloud engineer aws,azure,cloud,infrastructure technical mid it",3 70,"cloud engineer aws,azure,cloud,infrastructure technical mid it 3 70"
system design test,software engineer,"system,design,architecture,scalability",3,80,technical,senior,simulation,1,0,it,"software engineer system,design,architecture,scalability technical senior it",3 80,"software engineer system,design,architecture,scalability technical senior it 3 80"
software debugging test,software engineer,"debugging,troubleshooting,coding",2,50,technical,mid,coding test,1,0,it,"software engineer debugging,troubleshooting,coding technical mid it",2 50,"software engineer debugging,troubleshooting,coding technical mid it 2 50"
sql assessment,data analyst,"sql,database,query,data,analysis",1,40,technical,entry,knowledge test,1,0,it,"data analyst sql,database,query,data,analysis technical entry it",1 40,"data analyst sql,database,query,data,analysis technical entry it 1 40"
excel analytics test,data analyst,"excel,analytics,reporting,data",1,30,technical,entry,knowledge test,1,0,it,"data analyst excel,analytics,reporting,data technical entry it",1 30,"data analyst excel,analytics,reporting,data technical entry it 1 30"
data analysis test,data analyst,"statistics,analytics,visualization",2,45,technical,mid,knowledge test,1,0,it,"data analyst statistics,analytics,visualization technical mid it",2 45,"data analyst statistics,analytics,visualization technical mid it 2 45"
numerical reasoning test,data analyst,"numbers,analytics,quantitative,reasoning",2,35,cognitive,entry,cognitive test,1,1,general,"data analyst numbers,analytics,quantitative,reasoning cognitive entry general",2 35,"data analyst numbers,analytics,quantitative,reasoning cognitive entry general 2 35"
data visualization test,data analyst,"powerbi,tableau,visualization",2,45,technical,mid,knowledge test,1,0,it,"data analyst powerbi,tableau,visualization technical mid it",2 45,"data analyst powerbi,tableau,visualization technical mid it 2 45"
business intelligence test,data analyst,"bi,reporting,dashboards,sql",2,50,technical,mid,knowledge test,1,0,it,"data analyst bi,reporting,dashboards,sql technical mid it",2 50,"data analyst bi,reporting,dashboards,sql technical mid it 2 50"
data cleaning assessment,data analyst,"data,cleaning,pandas,python",2,40,technical,mid,coding test,1,0,it,"data analyst data,cleaning,pandas,python technical mid it",2 40,"data analyst data,cleaning,pandas,python technical mid it 2 40"
statistics assessment,data scientist,"statistics,probability,mathematics",3,60,technical,mid,knowledge test,1,0,it,"data scientist statistics,probability,mathematics technical mid it",3 60,"data scientist statistics,probability,mathematics technical mid it 3 60"
machine learning test,data scientist,"ml,algorithms,regression,classification",3,80,technical,senior,coding test,1,0,it,"data scientist ml,algorithms,regression,classification technical senior it",3 80,"data scientist ml,algorithms,regression,classification technical senior it 3 80"
deep learning assessment,data scientist,"neural,networks,deep,learning",3,90,technical,senior,coding test,1,0,it,"data scientist neural,networks,deep,learning technical senior it",3 90,"data scientist neural,networks,deep,learning technical senior it 3 90"
nlp assessment,data scientist,"nlp,text,processing,language,models",3,85,technical,senior,coding test,1,0,it,"data scientist nlp,text,processing,language,models technical senior it",3 85,"data scientist nlp,text,processing,language,models technical senior it 3 85"
ai engineering test,data scientist,"python,ml,ai,deployment",3,80,technical,senior,simulation,1,0,it,"data scientist python,ml,ai,deployment technical senior it",3 80,"data scientist python,ml,ai,deployment technical senior it 3 80"
data science assessment,data scientist,"python,ml,statistics,analytics",3,75,technical,mid,coding test,1,0,it,"data scientist python,ml,statistics,analytics technical mid it",3 75,"data scientist python,ml,statistics,analytics technical mid it 3 75"
model evaluation test,data scientist,"model,validation,metrics,evaluation",2,45,technical,mid,knowledge test,1,0,it,"data scientist model,validation,metrics,evaluation technical mid it",2 45,"data scientist model,validation,metrics,evaluation technical mid it 2 45"
feature engineering test,data scientist,"feature,engineering,data,processing",2,50,technical,mid,coding test,1,0,it,"data scientist feature,engineering,data,processing technical mid it",2 50,"data scientist feature,engineering,data,processing technical mid it 2 50"
cybersecurity assessment,security engineer,"security,networking,ethical,hacking",3,65,technical,mid,knowledge test,1,0,it,"security engineer security,networking,ethical,hacking technical mid it",3 65,"security engineer security,networking,ethical,hacking technical mid it 3 65"
network security test,security engineer,"network,security,firewall,risk",2,50,technical,mid,knowledge test,1,0,it,"security engineer network,security,firewall,risk technical mid it",2 50,"security engineer network,security,firewall,risk technical mid it 2 50"
penetration testing assessment,security engineer,"pen,testing,vulnerability,security",3,75,technical,senior,simulation,1,0,it,"security engineer pen,testing,vulnerability,security technical senior it",3 75,"security engineer pen,testing,vulnerability,security technical senior it 3 75"
ethical hacking test,security engineer,"ethical,hacking,cybersecurity,tools",3,70,technical,mid,knowledge test,1,0,it,"security engineer ethical,hacking,cybersecurity,tools technical mid it",3 70,"security engineer ethical,hacking,cybersecurity,tools technical mid it 3 70"
security analysis test,security engineer,"threat,analysis,risk,management",2,55,technical,mid,knowledge test,1,0,it,"security engineer threat,analysis,risk,management technical mid it",2 55,"security engineer threat,analysis,risk,management technical mid it 2 55"
leadership simulation,manager,"leadership,decision,making,communication",2,45,behavioral,senior,simulation,1,1,management,"manager leadership,decision,making,communication behavioral senior management",2 45,"manager leadership,decision,making,communication behavioral senior management 2 45"
management judgment test,manager,"leadership,strategy,business,decision",3,50,behavioral,senior,simulation,1,1,management,"manager leadership,strategy,business,decision behavioral senior management",3 50,"manager leadership,strategy,business,decision behavioral senior management 3 50"
project management test,project manager,"planning,risk,agile,scrum",2,60,management,mid,knowledge test,1,0,management,"project manager planning,risk,agile,scrum management mid management",2 60,"project manager planning,risk,agile,scrum management mid management 2 60"
agile scrum assessment,project manager,"agile,scrum,collaboration",2,40,management,mid,knowledge test,1,0,management,"project manager agile,scrum,collaboration management mid management",2 40,"project manager agile,scrum,collaboration management mid management 2 40"
team management test,manager,"team,leadership,motivation",2,45,behavioral,senior,simulation,1,1,management,"manager team,leadership,motivation behavioral senior management",2 45,"manager team,leadership,motivation behavioral senior management 2 45"
strategic thinking test,manager,"strategy,planning,vision,leadership",3,60,behavioral,senior,simulation,1,1,management,"manager strategy,planning,vision,leadership behavioral senior management",3 60,"manager strategy,planning,vision,leadership behavioral senior management 3 60"
executive leadership assessment,executive,"strategic,leadership,vision",3,75,leadership,leadership,simulation,1,1,management,"executive strategic,leadership,vision leadership leadership management",3 75,"executive strategic,leadership,vision leadership leadership management 3 75"
communication skills test,hr,"communication,english,verbal,skills",1,30,behavioral,entry,knowledge test,1,0,hr,"hr communication,english,verbal,skills behavioral entry hr",1 30,"hr communication,english,verbal,skills behavioral entry hr 1 30"
hr interview simulation,hr,"interview,evaluation,communication",2,35,behavioral,mid,simulation,1,1,hr,"hr interview,evaluation,communication behavioral mid hr",2 35,"hr interview,evaluation,communication behavioral mid hr 2 35"
talent acquisition test,hr,"recruitment,hiring,decision,making",2,40,behavioral,mid,knowledge test,1,0,hr,"hr recruitment,hiring,decision,making behavioral mid hr",2 40,"hr recruitment,hiring,decision,making behavioral mid hr 2 40"
employee engagement test,hr,"people,management,motivation,hr",2,45,behavioral,mid,simulation,1,1,hr,"hr people,management,motivation,hr behavioral mid hr",2 45,"hr people,management,motivation,hr behavioral mid hr 2 45"
customer service simulation,support executive,"customer,handling,communication,problem,solving",2,35,behavioral,entry,simulation,1,1,support,"support executive customer,handling,communication,problem,solving behavioral entry support",2 35,"support executive customer,handling,communication,problem,solving behavioral entry support 2 35"
technical support test,support engineer,"troubleshooting,networking,systems",2,45,technical,mid,knowledge test,1,0,it,"support engineer troubleshooting,networking,systems technical mid it",2 45,"support engineer troubleshooting,networking,systems technical mid it 2 45"
helpdesk support assessment,support engineer,"support,ticket,resolution,it",1,30,technical,entry,knowledge test,1,0,it,"support engineer support,ticket,resolution,it technical entry it",1 30,"support engineer support,ticket,resolution,it technical entry it 1 30"
customer interaction test,support executive,"communication,customer,experience",1,25,behavioral,entry,simulation,1,1,support,"support executive communication,customer,experience behavioral entry support",1 25,"support executive communication,customer,experience behavioral entry support 1 25"
sales assessment,sales executive,"sales,negotiation,communication,persuasion",2,40,behavioral,mid,simulation,1,1,sales,"sales executive sales,negotiation,communication,persuasion behavioral mid sales",2 40,"sales executive sales,negotiation,communication,persuasion behavioral mid sales 2 40"
retail sales simulation,sales executive,"customer,sales,interaction",2,35,behavioral,entry,simulation,1,1,sales,"sales executive customer,sales,interaction behavioral entry sales",2 35,"sales executive customer,sales,interaction behavioral entry sales 2 35"
b2b sales assessment,sales executive,"business,sales,strategy,negotiation",3,55,behavioral,senior,simulation,1,1,sales,"sales executive business,sales,strategy,negotiation behavioral senior sales",3 55,"sales executive business,sales,strategy,negotiation behavioral senior sales 3 55"
marketing analytics test,marketing analyst,"marketing,analytics,data,campaigns",2,45,technical,mid,knowledge test,1,0,marketing,"marketing analyst marketing,analytics,data,campaigns technical mid marketing",2 45,"marketing analyst marketing,analytics,data,campaigns technical mid marketing 2 45"
digital marketing assessment,marketing analyst,"seo,sem,analytics,marketing",2,50,technical,mid,knowledge test,1,0,marketing,"marketing analyst seo,sem,analytics,marketing technical mid marketing",2 50,"marketing analyst seo,sem,analytics,marketing technical mid marketing 2 50"
content marketing test,marketing analyst,"content,strategy,creativity,writing",1,30,behavioral,entry,knowledge test,1,0,marketing,"marketing analyst content,strategy,creativity,writing behavioral entry marketing",1 30,"marketing analyst content,strategy,creativity,writing behavioral entry marketing 1 30"
financial reasoning test,finance analyst,"finance,numbers,accounting,analysis",2,40,cognitive,mid,cognitive test,1,1,finance,"finance analyst finance,numbers,accounting,analysis cognitive mid finance",2 40,"finance analyst finance,numbers,accounting,analysis cognitive mid finance 2 40"
investment analysis test,finance analyst,"finance,investment,risk,analysis",3,60,technical,senior,knowledge test,1,0,finance,"finance analyst finance,investment,risk,analysis technical senior finance",3 60,"finance analyst finance,investment,risk,analysis technical senior finance 3 60"
accounting skills test,finance analyst,"accounting,financial,reporting",2,45,technical,mid,knowledge test,1,0,finance,"finance analyst accounting,financial,reporting technical mid finance",2 45,"finance analyst accounting,financial,reporting technical mid finance 2 45"
risk management assessment,finance analyst,"risk,compliance,finance,analysis",2,50,technical,mid,knowledge test,1,0,finance,"finance analyst risk,compliance,finance,analysis technical mid finance",2 50,"finance analyst risk,compliance,finance,analysis technical mid finance 2 50"
personality questionnaire,any,"behavior,personality,workplace,traits",1,25,personality,all,questionnaire,1,1,general,"any behavior,personality,workplace,traits personality all general",1 25,"any behavior,personality,workplace,traits personality all general 1 25"
situational judgment test,any,"decision,making,workplace,scenarios",2,35,behavioral,all,simulation,1,1,general,"any decision,making,workplace,scenarios behavioral all general",2 35,"any decision,making,workplace,scenarios behavioral all general 2 35"
logical reasoning test,any,"aptitude,problem,solving,logical,thinking",2,40,cognitive,all,cognitive test,1,1,general,"any aptitude,problem,solving,logical,thinking cognitive all general",2 40,"any aptitude,problem,solving,logical,thinking cognitive all general 2 40"
inductive reasoning test,any,"pattern,recognition,analytical,thinking",2,30,cognitive,all,cognitive test,1,1,general,"any pattern,recognition,analytical,thinking cognitive all general",2 30,"any pattern,recognition,analytical,thinking cognitive all general 2 30"
deductive reasoning test,any,"logical,decision,making,analysis",2,30,cognitive,all,cognitive test,1,1,general,"any logical,decision,making,analysis cognitive all general",2 30,"any logical,decision,making,analysis cognitive all general 2 30"
critical thinking test,any,"critical,thinking,analysis,evaluation",2,35,cognitive,all,cognitive test,1,1,general,"any critical,thinking,analysis,evaluation cognitive all general",2 35,"any critical,thinking,analysis,evaluation cognitive all general 2 35"
problem solving simulation,any,"problem,solving,decision,analysis",2,40,behavioral,all,simulation,1,1,general,"any problem,solving,decision,analysis behavioral all general",2 40,"any problem,solving,decision,analysis behavioral all general 2 40"
innovation creativity test,any,"creative,thinking,innovation,problem,solving",1,30,behavioral,all,knowledge test,1,0,general,"any creative,thinking,innovation,problem,solving behavioral all general",1 30,"any creative,thinking,innovation,problem,solving behavioral all general 1 30"
digital literacy test,any,"computer,basics,internet,tools,software",1,20,technical,entry,knowledge test,1,0,general,"any computer,basics,internet,tools,software technical entry general",1 20,"any computer,basics,internet,tools,software technical entry general 1 20"
remote work simulation,any,"time,management,communication,self,discipline",1,25,behavioral,all,simulation,1,1,general,"any time,management,communication,self,discipline behavioral all general",1 25,"any time,management,communication,self,discipline behavioral all general 1 25"
presentation skills assessment,manager,"presentation,communication,leadership",2,35,behavioral,senior,simulation,1,1,management,"manager presentation,communication,leadership behavioral senior management",2 35,"manager presentation,communication,leadership behavioral senior management 2 35"
english comprehension test,any,"reading,writing,grammar,understanding",1,25,cognitive,all,cognitive test,1,1,general,"any reading,writing,grammar,understanding cognitive all general",1 25,"any reading,writing,grammar,understanding cognitive all general 1 25"
workplace ethics test,any,"ethics,integrity,professional,behavior",1,20,personality,all,questionnaire,1,1,general,"any ethics,integrity,professional,behavior personality all general",1 20,"any ethics,integrity,professional,behavior personality all general 1 20"
collaboration assessment,any,"teamwork,collaboration,communication",1,25,behavioral,all,simulation,1,1,general,"any teamwork,collaboration,communication behavioral all general",1 25,"any teamwork,collaboration,communication behavioral all general 1 25"
adaptability test,any,"adaptability,change,management,learning",1,20,behavioral,all,knowledge test,1,0,general,"any adaptability,change,management,learning behavioral all general",1 20,"any adaptability,change,management,learning behavioral all general 1 20"
time management assessment,any,"time,planning,productivity,organization",1,25,behavioral,all,knowledge test,1,0,general,"any time,planning,productivity,organization behavioral all general",1 25,"any time,planning,productivity,organization behavioral all general 1 25"
decision making test,any,"decision,analysis,critical,thinking",2,35,cognitive,all,cognitive test,1,1,general,"any decision,analysis,critical,thinking cognitive all general",2 35,"any decision,analysis,critical,thinking cognitive all general 2 35"
analytical reasoning test,data analyst,"analytics,logic,data,interpretation",2,40,cognitive,entry,cognitive test,1,1,it,"data analyst analytics,logic,data,interpretation cognitive entry it",2 40,"data analyst analytics,logic,data,interpretation cognitive entry it 2 40"
business analyst test,business analyst,"requirement,analysis,stakeholder,sql",2,50,technical,mid,knowledge test,1,0,it,"business analyst requirement,analysis,stakeholder,sql technical mid it",2 50,"business analyst requirement,analysis,stakeholder,sql technical mid it 2 50"
process improvement assessment,business analyst,"process,optimization,analysis",2,45,management,mid,knowledge test,1,0,business,"business analyst process,optimization,analysis management mid business",2 45,"business analyst process,optimization,analysis management mid business 2 45"
product management test,product manager,"product,strategy,user,analysis",3,70,management,senior,simulation,1,1,business,"product manager product,strategy,user,analysis management senior business",3 70,"product manager product,strategy,user,analysis management senior business 3 70"
ux thinking assessment,product manager,"ux,design,user,research",2,50,technical,mid,knowledge test,1,0,it,"product manager ux,design,user,research technical mid it",2 50,"product manager ux,design,user,research technical mid it 2 50"
innovation strategy test,executive,"innovation,strategy,leadership,vision",3,75,leadership,leadership,simulation,1,1,management,"executive innovation,strategy,leadership,vision leadership leadership management",3 75,"executive innovation,strategy,leadership,vision leadership leadership management 3 75"
organizational leadership test,executive,"leadership,organizational,behavior",3,70,leadership,leadership,simulation,1,1,management,"executive leadership,organizational,behavior leadership leadership management",3 70,"executive leadership,organizational,behavior leadership leadership management 3 70"
global leadership assessment,executive,"global,strategy,decision,leadership",3,80,leadership,leadership,simulation,1,1,management,"executive global,strategy,decision,leadership leadership leadership management",3 80,"executive global,strategy,decision,leadership leadership leadership management 3 80"
future skills assessment,graduate,"learning,agility,digital,skills",1,30,behavioral,entry,knowledge test,1,0,general,"graduate learning,agility,digital,skills behavioral entry general",1 30,"graduate learning,agility,digital,skills behavioral entry general 1 30"
career readiness test,graduate,"professional,skills,workplace,readiness",1,25,behavioral,entry,knowledge test,1,0,general,"graduate professional,skills,workplace,readiness behavioral entry general",1 25,"graduate professional,skills,workplace,readiness behavioral entry general 1 25"
entry level aptitude test,graduate,"aptitude,basic,reasoning,communication",1,30,cognitive,entry,cognitive test,1,1,general,"graduate aptitude,basic,reasoning,communication cognitive entry general",1 30,"graduate aptitude,basic,reasoning,communication cognitive entry general 1 30"
young professional assessment,professional,"professional,skills,communication,analysis",2,45,behavioral,mid,simulation,1,1,general,"professional professional,skills,communication,analysis behavioral mid general",2 45,"professional professional,skills,communication,analysis behavioral mid general 2 45"
professional hiring simulation,professional,"domain,knowledge,problem,solving",2,50,behavioral,mid,simulation,1,1,general,"professional domain,knowledge,problem,solving behavioral mid general",2 50,"professional domain,knowledge,problem,solving behavioral mid general 2 50"
advanced professional assessment,professional,"advanced,domain,expertise,analysis",3,65,technical,senior,knowledge test,1,0,general,"professional advanced,domain,expertise,analysis technical senior general",3 65,"professional advanced,domain,expertise,analysis technical senior general 3 65"
